attack_cat,sttl,ct_state_ttl,dttl,state,ackdat,proto,tcprtt,Label
0,31,0,29,1,0.00014,1,0.00076,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.002398,1,0.002904,0
0,31,0,29,0,0.0,0,0.0,0
3,62,1,252,1,0.044254,1,0.098506,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000169,1,0.000766,0
0,31,0,29,0,0.0,0,0.0,0
3,254,1,252,1,0.038017,1,0.06827,1
0,31,0,29,1,0.000133,1,0.000666,0
1,254,2,0,2,0.0,0,0.0,1
2,254,1,252,1,0.038189,1,0.104239,1
5,254,6,0,3,0.0,13,0.0,1
0,31,0,29,1,0.000122,1,0.000594,0
0,31,0,29,1,0.000133,1,0.000624,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000139,1,0.000728,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,1,0.000174,1,0.000716,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000135,1,0.000656,0
0,31,0,29,1,0.000129,1,0.000605,0
0,254,1,252,1,0.091698,1,0.157199,0
0,31,0,29,0,0.0,0,0.0,0
4,254,2,0,2,0.0,3,0.0,1
0,31,0,29,1,0.00014,1,0.000661,0
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
1,254,2,0,2,0.0,0,0.0,1
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00012,1,0.000602,0
1,254,2,0,2,0.0,0,0.0,1
3,254,2,0,2,0.0,118,0.0,1
4,254,2,0,2,0.0,48,0.0,1
0,62,3,252,0,0.317426,1,0.43314,0
1,254,2,0,2,0.0,0,0.0,1
0,60,0,0,2,0.0,0,0.0,0
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000144,1,0.000681,0
1,254,2,0,2,0.0,0,0.0,1
4,254,2,0,2,0.0,3,0.0,1
0,31,0,29,0,0.0,0,0.0,0
0,31,0,29,1,0.000146,1,0.000725,0
0,31,0,29,1,0.000143,1,0.000645,0
0,31,0,29,1,0.000134,1,0.000628,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.000131,1,0.00061,0
1,254,2,0,2,0.0,0,0.0,1
0,31,0,29,1,0.00012,1,0.000579,0
