proto,sttl,dttl,dloss,Spkts,Dpkts,swin,dwin,smeansz,ct_state_ttl,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,Label
1,31,29,4,8,12,255,255,53,0,1,1,1,2,0,0
1,254,252,4,12,12,255,255,53,1,3,3,1,4,2,1
0,31,29,0,4,4,0,0,142,0,5,13,1,3,0,0
0,31,29,0,2,2,0,0,65,0,1,1,1,4,0,0
1,31,29,42,96,98,255,255,57,0,12,11,1,1,0,0
0,254,0,0,2,0,0,0,57,2,38,38,25,38,1,1
1,31,29,4,8,12,255,255,53,0,3,3,1,5,0,0
1,31,29,32,122,126,255,255,64,0,8,2,1,1,0,0
1,31,29,18,48,50,255,255,62,0,5,4,1,1,0,0
0,254,0,0,2,0,0,0,57,2,12,12,5,5,1,1
0,31,29,0,4,4,0,0,142,0,4,8,1,1,0,0
0,31,29,0,4,4,0,0,132,0,9,5,1,2,0,0
82,254,0,0,2,0,0,0,100,2,3,3,3,3,4,1
0,254,0,0,2,0,0,0,57,2,24,24,24,24,1,1
0,31,29,0,4,4,0,0,130,0,6,5,1,2,0,0
67,254,0,0,2,0,0,0,100,2,6,6,2,6,3,1
0,254,0,0,2,0,0,0,57,2,36,36,17,36,1,1
129,254,0,0,2,0,0,0,100,2,8,8,1,15,3,1
0,254,0,0,2,0,0,0,57,2,28,28,19,28,1,1
1,31,29,5,24,20,255,255,90,0,5,11,1,2,0,0
0,254,0,0,2,0,0,0,57,2,26,26,20,26,1,1
1,31,29,18,48,50,255,255,62,0,7,9,1,1,0,0
0,254,0,0,2,0,0,0,57,2,22,22,18,22,1,1
1,31,29,5,24,20,255,255,90,0,3,5,1,1,0,0
0,254,0,0,2,0,0,0,57,2,42,42,21,42,1,1
3,254,0,0,2,0,0,0,100,2,5,5,2,5,1,1
1,31,29,197,228,438,255,255,58,0,19,15,8,8,0,0
1,31,29,5,12,18,255,255,132,0,3,2,1,3,0,0
0,31,29,0,2,2,0,0,73,0,1,1,1,1,0,0
1,31,29,17,46,48,255,255,62,0,6,6,1,1,0,0
0,254,0,0,2,0,0,0,57,2,22,22,22,22,1,1
0,254,0,0,2,0,0,0,57,2,36,36,18,36,1,1
0,254,0,0,2,0,0,0,84,2,2,1,1,1,5,1
0,31,29,0,4,4,0,0,142,0,4,11,1,3,0,0
1,31,29,370,348,746,255,255,53,0,1,2,1,1,0,0
1,31,29,12,36,38,255,255,65,0,3,1,1,1,0,0
0,31,29,0,2,2,0,0,73,0,2,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,44,44,24,44,1,1
1,31,29,1,14,8,255,255,638,0,3,1,1,1,0,0
1,31,29,2,8,10,255,255,132,0,1,2,1,3,0,0
0,31,29,0,4,4,0,0,130,0,3,6,1,3,0,0
1,62,252,8,106,34,255,255,1092,1,1,1,1,1,3,1
1,254,252,1,10,6,255,255,59,1,1,1,1,1,1,1
0,60,0,0,2,0,0,0,132,0,19,19,15,19,0,0
0,254,0,0,2,0,0,0,57,2,26,26,24,26,1,1
0,254,0,0,2,0,0,0,57,2,33,33,20,33,1,1
0,60,0,0,2,0,0,0,132,0,37,37,37,37,0,0
1,31,29,33,78,80,255,255,58,0,2,6,1,1,0,0
99,254,0,0,2,0,0,0,90,2,14,14,14,14,4,1
0,60,0,0,2,0,0,0,132,0,38,38,37,38,0,0
1,31,29,8,52,42,255,255,717,0,1,2,1,3,0,0
0,254,0,0,2,0,0,0,57,2,37,37,11,37,1,1
1,31,29,4,16,18,255,255,96,0,8,9,5,5,0,0
1,31,29,4,8,12,255,255,53,0,4,3,1,6,0,0
1,254,252,11,28,26,255,255,180,1,2,1,2,1,3,1
0,254,0,0,2,0,0,0,57,2,25,25,18,25,1,1
0,31,29,0,2,2,0,0,73,0,1,3,1,1,0,0
0,254,0,0,2,0,0,0,57,2,22,22,17,22,1,1
0,254,0,0,2,0,0,0,57,2,22,22,11,22,1,1
1,254,252,1,10,8,255,255,103,1,1,1,1,1,3,1
0,254,0,0,2,0,0,0,57,2,33,33,18,33,1,1
0,254,0,0,2,0,0,0,132,2,6,5,2,5,2,1
1,31,29,11,34,36,255,255,66,0,4,6,1,1,0,0
0,31,29,0,2,2,0,0,73,0,1,2,1,1,0,0
0,254,0,0,2,0,0,0,57,2,7,7,4,4,1,1
0,254,0,0,2,0,0,0,57,2,26,26,10,26,1,1
1,31,29,5,14,18,255,255,120,0,2,1,2,1,0,0
0,254,0,0,2,0,0,0,57,2,37,37,33,37,1,1
1,31,29,6,22,24,255,255,93,0,4,5,1,2,0,0
0,64,0,0,2,0,0,0,252,0,46,46,46,46,0,0
